year,High income,Low income,Lower middle income,Upper middle income,indicator_name
2013,73.82581111111111,5.707140000000001,18.44936170212766,37.98662884615385,Prorcentaje de la poblacion que son usuarios de internet (%)
2014,76.07477361111111,6.709929130434783,21.52203958333333,42.73898653846154,Prorcentaje de la poblacion que son usuarios de internet (%)
2015,77.92466805555556,7.907110434782609,24.354094166666666,47.07428823529412,Prorcentaje de la poblacion que son usuarios de internet (%)
2016,80.69162602739726,10.240230833333333,28.206152291666665,51.17819411764706,Prorcentaje de la poblacion que son usuarios de internet (%)
2017,82.032396,12.013514347826087,32.44960770833333,55.75231923076923,Prorcentaje de la poblacion que son usuarios de internet (%)
2018,83.76188032786885,14.0408045,38.30476279069767,61.256212500000004,Prorcentaje de la poblacion que son usuarios de internet (%)
2019,85.53246666666666,16.31688619047619,41.51535434782609,65.03431224489796,Prorcentaje de la poblacion que son usuarios de internet (%)
2020,87.93150923076924,17.410048181818183,46.77440222222222,70.42558,Prorcentaje de la poblacion que son usuarios de internet (%)
2021,89.92364923076923,20.221444444444444,52.22471395348837,74.88980784313725,Prorcentaje de la poblacion que son usuarios de internet (%)
2022,90.97270153846154,22.83007894736842,54.32346590909091,76.90296078431372,Prorcentaje de la poblacion que son usuarios de internet (%)
2023,91.6304609375,24.167666666666666,56.95816222222222,79.07154509803921,Prorcentaje de la poblacion que son usuarios de internet (%)
